"fire.forest","release.method","frequency"
"1987CLARK - Plumas NF","Manual",225
"1987CLARK - Plumas NF","Mechanical",18
"1987CLARK - Plumas NF","Not Applicable",10
"1987HAMM_CMPLX - Stanislaus NF","Manual Chemical",230
"1987HAMM_CMPLX - Stanislaus NF","Chemical",20
"1987HAMM_CMPLX - Stanislaus NF","Mechanical",3
"1987INDIAN - Tahoe NF","Manual",1411
"1987INDIAN - Tahoe NF","Not Applicable",466
"1987INDIAN - Tahoe NF","Mechanical",36
"1987LOST - Lassen NF","Mechanical",530
"1987LOST - Lassen NF","Manual",158
"1989RACK - Plumas NF","Mechanical",46
"1990STORMY - Sequoia NF","Not Applicable",414
"1990STORMY - Sequoia NF","Manual",297
"1992RUBY - Stanislaus NF","Manual Chemical",19
"1994BIG_CREEK - Sierra NF","Manual",218
"1994BIG_CREEK - Sierra NF","Not Applicable",52
"1994COTTONWOOD - Tahoe NF","Not Applicable",341
"1994COTTONWOOD - Tahoe NF","Manual",329
"1994COTTONWOOD - Tahoe NF","Cut trees and brush",20
"1999PENDOLA - Tahoe NF","Not Applicable",113
"1999PENDOLA - Tahoe NF","Manual",89
"2001STAR - Eldorado NF","Chemical",87
"2001STAR - Eldorado NF","Manual",3
"2001STAR - Tahoe NF","Manual",63
"2002MCNALLY - Sequoia NF","Manual",68
"2004POWER - Eldorado NF","Manual",415
"2004POWER - Eldorado NF","Power Hand",9
"2004STRAYLOR - Lassen NF","Manual",316
"2004STRAYLOR - Lassen NF","Not Applicable",1
"2006BASSETTS - Tahoe NF","Manual",80
"2006BASSETTS - Tahoe NF","Cut trees and brush",44
"2007MOONTELOPE - Plumas NF","Manual",366
"2007MOONTELOPE - Plumas NF","Not Applicable",127
"2008GOVERNMENT - Tahoe NF","Manual",143
"2008GOVERNMENT - Tahoe NF","Grubbing or scalping",20
"2008PIUTE - Sequoia NF","Manual",158
"2009SUGARLOAF - Lassen NF","Manual",17
"2012CHIPS - Lassen NF","Manual",11
"2012CHIPS - Plumas NF","Grubbing or scalping",274
"2012CHIPS - Plumas NF","Manual",43
"2012READING - Lassen NF","Manual",43
